artist_name|artist_uri|album_name|album_uri
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|Shadows & Silhouettes|76fjFCjvGJzelaxyCvhEO8
Uk Apache|0YE17nrGKTk37bcKpKVUvi|Original Nuttah 25|3CDghMhp5uTwVQVZ9vBVm5
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Devil's Night EP|27G11z8Aco6n1IAbONn0ES
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Problems EP|1amLyWl36hRU5XtkeoyfF3
Mohican Sun|7LzWa2AUty3RU0znyhG70N|Dead Sea|5vYTPuVhnFLxxcDXjORSV9
Moomin|5GyUtaUuEnR7uhRF3jDj4s|A Minor Thought|0bxwH4IfXTXYmpiC2rIfFA
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|You Remember|54bPKBXzQ1YQDaUq3MSJsE
Ghetts|7zJL978NtANOysfGY21ty6|Mozambique (feat. Jaykae & Moonchild Sanelly)|3NmI81gPs3Z5OLaOoiPoCf
Chaos In The CBD|0QOQc6jEsPX5Y45TV0hXQy|Café del Mar - Terrace Mix 9|7vQ6MMttiSoWnl0hi4aRks
Nu:Logic|5pL8Q5xbDLEDE6JvYMXX9u|Somewhere Between The Light|6MzcHgrr8goFUrmGdOrKb2
Technimatic|1LhB1j0Zq3tjBeG3k8gq7V|Better Perspective (Deluxe Edition)|2YdriHhMca5xF3xXo3VxuP
Whiney|4YTBo7qadslqj8V8FMRuqK|Teddy's Gate|6Bd0YjrFuAZzCYabCDaIOB
Athena|5zQVK5kEmMGuMqreKxjyNb|Take Flight|2Vmp8gBL6Lnc7XoQDrJFkD
Chase & Status|3jNkaOXasoc7RsxdchvEVq|RTRN II JUNGLE|5TL5mPJjOPiQCcZzEpfuaU
Subwave|19UDaks6aMVPdEp8qhO4T9|Subwave|2Pn8NcXjHC9SQDBsc97cWJ
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|7 Tunes In 7 Days|3Q8bAO43wKNq74JebWBQ5s
Laurence Guy|1PTEiCpkzNkLNgMi1LL8JR|The Sun Is Warm and Directly Above You|4Udumqsv1U3QVeND9tqVp1
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Midnight on Rainbow Road|0W0uMmLylBR5J967T9aWYi
Kessler|3p0aq3vKGFP6N7rDc0UhJC|Ambivalent|7dZYB94TjHB1Kub44SK9j9
BAKEY|49du30vgnQZT13tyjnrspT|Poison Dart|4IVVcdv4PghrHBrroHctI1
Netsky|5TgQ66WuWkoQ2xYxaSTnVP|Abbot Kinney|3H1ZzSXNWaIqiCpgHajR8F
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Longshanks|2xW3yWkUKGORKWR7JjVveX
DJ Seinfeld|37YzpfBeFju8QRZ3g0Ha1Q|Time Spent Away From U|5DlpzmONGJYLOUBcHvjfSM
Benita|49R1WTcCcbyOpl3g8YDJU6|Time for a Change|4reo75rXpm9ZpIrw5wK1y2
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Butterflies / This is the Place|5JyzoQIeXel4bM8tHEwkfW
Dave|6Ip8FS7vWT1uKkJSweANQK|Thiago Silva|6JYMpRz7M9T2JlkjKHmsdc
Bicep|73A3bLnfnz5BoQjb4gNCga|Isles|0EdtTRCl3J22AnWrNpH1w9
Folamour|6pJY5At9SiMpAOBrw9YosS|Ordinary Drugs|3na24PKpM5Bh0xwvIcpPms
BOP|02ZCVD3nqfqNId8lvpvCBb|Dream On|58GqrBEuwUgc6bLCtjnaFt
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Envelopes|1A6VtF2OjVmEKErfTrNZYJ
Ross from Friends|1Ma3pJzPIrAyYPNRkp3SUF|You'll Understand|6c94J2yum9wHxmbSB27YXE
Baltra|2tEyBfwGBfQgLXeAJW0MgC|Rearview EP|1meEABy5Nr83dO5CZ3Qf5u
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|Colourspace|6flyNGuaD68IYuEVNGwqkh
Shanti Celeste|3CkM2290WOa2ESzhlu5mzM|Tangerine|4olQWXC3W8iaZfzGyzkN0Y
Moomin|5GyUtaUuEnR7uhRF3jDj4s|The Story About You|120ozXpjN4VsLf74eVQ8TO
Mohican Sun|7LzWa2AUty3RU0znyhG70N|Fixation|0nMSpPdITwRrpzvBBjVByd
George FitzGerald|3KOHpygRuo1ruQAbEneR3t|Fading Love|1v6BipCE7YBMOBcAN0j0EH
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|City Soul|2GlEPxglf73hK8VPTNuK3V
Nu:Tone|7pDBRy9uWy1zq5b0uXIABQ|Little Spaces|5Jd375gdtvoIJmrzc2aYJb
Phaction|33CVzI4YFK6YBZsuxjKhHR|Stratos EP|5F6QAb3h5OcviQtVJDd4tV
Bad Boy Chiller Crew|5SRr4ZJMoygWecytkIwlaV|BMW|3U3FSuGS2CXktQD4fU78gM
Tate McRae|45dkTj5sMRSjrmBSBeiHym|she's all i wanna be|51oWPUjnGhecw62V8LDXK8
Liilz|0PfJ0SW9UpzczeHL5hgdwL|Glad U Came (feat. ZieZie)|52JvEc5EDwgA854xVckQL9
Camila Cabello|4nDoRrQiYLoBzwC5BhVJzF|Bam Bam (feat. Ed Sheeran)|6FIMt58naoGYrOe4Wn2P3n
Tiësto|2o5jDhtHVPhrJdv3cEQ99Z|The Motto|278z9UXJaMNDH9Bel9uAxV
Charlie Puth|6VuMaDnrHyPL1p4EHjYLi7|Light Switch|6PBwTu4IgZMQNTKtrgxzZQ
Sam Fender|6zlR5ttMfMNmwf2lecU9Cc|Seventeen Going Under|4RS1iWb2MC9o21z3t8zxl4
Lil Tjay|6jGMq4yGs7aQzuGsMgVgZR|In My Head|5pK7kqzGXSY7xoLMhfHlql
ArrDee|7m0BsF0t3K9WQFgKoPejfk|Come & Go|1iOQNkFxtPkiZDYq9RZDyV
ACRAZE|4pnp4w9g30yLfVIAFnZMRd|Do It To It|58cd90Jkrovggh556JPN9L
Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z|Thanks For Waiting|2IHcdrRhnzXoH8ilmhWujM
Mimi Webb|3GxKJzJK4LpsYGXQrw77wz|House On Fire|4zZ3DDacL1IvmaozxYEGuL
Russ Millions|3FoFW2AoUGRHBacC6i4x4p|One Of A Kind Music Presents: Reggae & Calypso (Russ Millions x Buni x YV)|7edXlHrpkf5btwVVy1nO3k
Em Beihold|7o2ZQYM7nTsaVdkXY38UAA|Numb Little Bug|20zaiRxxUfDqdCKsdSo7HM
Aitch|2PJEagPIxaBugeMjIyKVXF|Baby|4ag07Nbz1xUcFWU17JNh1r
Ed Sheeran|6eUKZXaKkcviH0Ku9w2n3V|=|32iAEBstCjauDhyKpGjTuq
Jax Jones|4Q6nIcaBED8qUel8bBx6Cr|Where Did You Go (feat. MNEK)|5vSLX6JljaSXuRY2Wqi6xL
Lost Frequencies|7f5Zgnp2spUuuzKplmRkt7|Where Are You Now|5YrOK7zze6egKg9a8WRcnD
Belters Only|1H1sDUWSlytzifZTDpKgUA|Make Me Feel Good|2YNIYdATkvFpTKZexocmEi
Fireboy DML|75VKfyoBlkmrJFDqo1o2VY|Peru|5SLXbErenG3tJrVdIMpQHk
Charli XCX|25uiPmTg16RbhZWAqwLBy5|Beg For You (feat. Rina Sawayama)|0ffmwwS9EBmpLAgjblX75O
Dave|6Ip8FS7vWT1uKkJSweANQK|Starlight|1WLS1NrOlbDIl760hVeeUi
Luude|20cmhoGvN0eyzhmsHJH1Mg|Down Under (feat. Colin Hay)|52L8AnUkPWl7FGDlZjNAnJ
Dove Cameron|2W8yFh0Ga6Yf3jiayVxwkE|Boyfriend|4jUfPmvZGiRRJwULbfk1dc
George Ezra|2ysnwxxNtSgbb9t1m2Ur4j|Anyone For You (Tiger Lily)|7H1EYBP5XYudqRhjL5vG5j
Glass Animals|4yvcSjfu4PC0CYQyLy4wSq|Heat Waves|69K1zrf6TkXHdYUO8n2qVi
Wilkinson|6m8itYST9ADjBIYevXSb1r|Used to This|48vV65b1zjT4lCeO5MplHm
Ed Sheeran|6eUKZXaKkcviH0Ku9w2n3V|The Joker And The Queen (feat. Taylor Swift)|0vkAczpFKCazPKaoLtnBr0
Becky Hill|4EPJlUEBy49EX1wuFOvtjK|Run|7JCAQ1ISjY2Le5hcXUmU0L
Ed Sheeran|6eUKZXaKkcviH0Ku9w2n3V|Shivers|531c37GGv5IvddCvBv3sWT
A1 x J1|1WO1hFAkFbeo9tV3uVX7Dy|Night Away (Dance) (feat. Tion Wayne)|6WQPgcOtZCoXGBZQOxDJQ0
Jordan Rakei|24icoQNJSEWNu3XvqKBR68|What We Call Life|6Ifae2tRjg49lTQ9390iOD
Jungle|59oA5WbbQvomJz2BuRG071|Loving In Stereo|1hykVcbmenjAoG7wwoXmCV
Everything Everything|1HOeqtP7tHkKNJNLzQ2tnr|I Want A Love Like This|1eq2IYUBMX1mincEtLL06J
Jordan Rakei|24icoQNJSEWNu3XvqKBR68|Origin (Deluxe Edition)|6vlatUhYlcoUkMfNIvmtLE
Parcels|3oKRxpszQKUjjaHz388fVA|Day/Night|2FJj7NVoRCAwjFus0O1BXd
Antonio Vivaldi|2QOIawHpSlOwXDvSqQ9YJR|The Four Seasons|4eEJooUkzenp7lZTtfbIP7
Westerman|09s6bLEw45wioK9ytf3nsA|Your Hero Is Not Dead|45gjNMd3mAP0zyTQMOQdGk
Everything Everything|1HOeqtP7tHkKNJNLzQ2tnr|Teletype|27kg8Ig4ENnxyayLAjVK8q
Imagine Dragons|53XhwfbYqKCa1cC15pYq2q|Enemy (with JID) [from the series Arcane League of Legends]|1bTgKomQYSkKYPD9UI9W4b
Arlo Parks|4kIwETcbpuFgRukE8o7Opx|Collapsed In Sunbeams|42joEEymK7EIHODfNB4yug
Sting|0Ty63ceoRnnJKVEYP0VQpk|Arcane League of Legends (Soundtrack from the Animated Series)|3MdiH74FL8mhlbnR6DcqJd
Loyle Carner|4oDjh8wNW5vDHyFRrDYC4k|Not Waving, But Drowning|1kokRXXxrJzhxdMo0vsVDV
Lucio Dalla|25MkkfEousyfp2eyh38FUl|Classic|3gZv6Vq2Q2a300JEUV8Dq9
Westerman|09s6bLEw45wioK9ytf3nsA|Confirmation|1KzaV3sPuiCAzByFtnfRtz
Hans Zimmer|0YC192cP3KPCRWx8zr8MfZ|The Dark Knight Rises|3sGDniFo4e5r0bwmSL2upZ
Joesef|28EyduqESEOVMO6vglvaUZ|I Wonder Why|1N7U7alOZtbA2m3AyAPEXf
Howard Shore|0OcclcP5o8VKH2TRqSY2A7|The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)|04rz93AqGy9JduzV3K81Dh
Nathaniel Drew X Tom Fox|6WYhTsOkDtjLcZlwSrpBGm|Memento Mori|5tuCsC7rIetZYlOrfyOQtq
Charles Bolt|4FX5p8T76gw69sWyPbggCj|Charles Bolt|3j0aL8TLtJ43y0Yd2gGz7O
Howard Shore|0OcclcP5o8VKH2TRqSY2A7|The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)|1zIoYLpYOq8d4HFzHJ7vc8
Tom Misch|1uiEZYehlNivdK3iQyAbye|What Kinda Music|6iOCv7oGL5sGi2aVnRz2BI
M83|63MQldklfxkjYDoUE4Tppz|Hurry up, We're Dreaming|6EB14IXV5oyOiItGBv7mtG
Karin Borg|0mWi0Jr9Ir8GPGVBpQqI1W|Tarfala|4fSemSaJXbkH1gjX71waLy
Jordan Rakei|24icoQNJSEWNu3XvqKBR68|Midnight Mischief (Tom Misch Remix)|3ssz8pi55szsiCBRpJr4xV
Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z|Topshottas Freestyle|6J3iXdsFvuhSl7HjDoIwEn
Spencer Flay|46IxhJGbFfxwNEUu0GKfUQ|Sound Waves|35lk8UQ9Z5KXYZkJR4jyoH
Benny The Butcher|5Matrg5du62bXwer29cU5T|Tana Talk 3|5OsHMGOg6lRV9REoVxbcWA
Chance the Rapper|1anyVhU62p31KFi8MEzkbf|Coloring Book|71QyofYesSsRMwFOTafnhB
MJ Duke|4FqWInziQnhpDVKaMLAzkY|On Time|1IBd4WIcI94PJ63zNxsfkn
Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z|Training Day 3|3pD0TA3tAutL7Bi2Ng8SPb
Sleepy Hallow|6EPlBSH2RSiettczlz7ihV|DON'T SLEEP|3WN4R900GY9WGhMcSFY4sX
Conway the Machine|67gqUXxHedeUGDTxwBzdjS|Reject 2|0bwlrhBRjtqdy4eTlfg2UD
T2|4Q5MS10mWfrDyiXVeAAzVd|Heartbroken|5zS1u2oihFYN3jXgKh5lAC
Nines|0tPKcpC8yXpfdWXFcN7Vwr|From Church Rd. to Hollywood|1zkvGzVydD792tZYCFdLPD
Kanye West|5K4W6rqBFWDnAN6FQUkS6x|Graduation|4SZko61aMnmgvNhfhgTuD3
Hansen|1lPtXpdRwjw5S1QcAYUL6c|Run It Back|2WLvpNSNvBlAAo6whCpJZj
Blade Brown|4E0mDf341TLViBbNefSrsK|Bags and Boxes 4|5pAvOdUwa9xzmVxSl4k6DN
MJ Duke|4FqWInziQnhpDVKaMLAzkY|Boiling Water|7dRsoxZh9lwTixb4gSiyX9
MJ Duke|4FqWInziQnhpDVKaMLAzkY|I Lost My Way|332qdKF1ZPpCQSUAJuoVp3
RAY BLK|0CkbPVBpOwwz9NPPglFKyq|Durt|1P29D0CPo7YeQnUUL13SEh
Blade Brown|4E0mDf341TLViBbNefSrsK|Bags and Boxes 3|6IJOvlTs2BmWbnEok2EE7e
MJ Duke|4FqWInziQnhpDVKaMLAzkY|That's Just How You|3dZcJ2H4RhOew56RFDqqac
Monsta Boy|0YgabnWomkooWIaTM6VOfE|Sorry|1bzhoN9vur8qy0l7TCnnid
Kanye West|5K4W6rqBFWDnAN6FQUkS6x|The College Dropout|4Uv86qWpGTxf7fU7lG5X6F
Kanye West|5K4W6rqBFWDnAN6FQUkS6x|Late Registration|0Ds6i3h0F9RcYIKAD5Olum
Kaory|6SmQQGBIM8IcEctLqXanBH|Wondering Why|4qd7qNROsKzrvtlQEH9vam
Kanye West|5K4W6rqBFWDnAN6FQUkS6x|The Life Of Pablo|7gsWAHLeT0w7es6FofOXk1
JAY-Z|3nFkdlSjzX9mRTtwJOzDYB|Watch The Throne (Deluxe)|2P2Xwvh2xWXIZ1OWY9S9o5
MJ Duke|4FqWInziQnhpDVKaMLAzkY|Fades|7fL4Bvxutn9ZMuVbYGvsMp
JAY-Z|3nFkdlSjzX9mRTtwJOzDYB|Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course|4lhyg7YGQagE8FT8cZBqyw
3 Of A Kind|0WG74hoaVTaNb3hx3yRqb1|Babycakes|4sW39hh7uYqe8zDg7ylPAW
Polo G|6AgTAQt8XS6jRWi4sX7w49|Die A Legend|26ztFK3E69j5THJQdyxC5w
Smoke DZA|3kf0gOpxWtkyeMNJVDQPtd|Statue of Limitations|17rPZ8BYMT9wRKOORSjy2C
Jme|4IZLJdhHCqAvT4pjn8TLH5|History:|74tH17Nt4hF80FKeLUlEoE
Twista|6vbY3hOaCAhC7VjucswgdS|The College Dropout|4Uv86qWpGTxf7fU7lG5X6F
